Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
,2025,Australia,NSW,M,57,,True,9,Mañana,Blanco,Both legs and arm severed
,2025,Australia,NSW,M,,,False,7,Mañana,Blanco,None sustained board severly damaged
,2025,Australia,NSW,M,9,,False,16,Tarde,Blanco,None sustained board severely damaged
,2025,Australia,South Australia,M,19,,False,11,Mañana,Blanco,Kayak badly damaged no injury to person
,2025,Bahamas,Great Abaco Islands,M,66,,False,,,Toro,Lacerations to right arm
,2025,Australia,NSW,M,16,,False,16,Tarde,Toro,Serious bites to r bicep r wrist and r leg
,2025,USA,Long Island NY,F,20,,False,16,Tarde,Tigre,Lacerations to lower left foot and leg
,2025,USA,Florida,F,9,,False,12,Tarde,Toro,Right hand almost torn off
,2025,USA,California,M,42,,False,14,Tarde,Blanco,No injury 
,2025,Australia,WA,M,,,False,14,Tarde,Tigre,Bumping to the body
,2025,Australia,WA,M,37,,True,12,Tarde,Blanco,Missing body not recovered
,2025,Australia,NSW,F,56,,False,13,Tarde,Toro,Serious lacerations above right knee.
,2025,Bahamas,,F,24,,False,18,Tarde,Toro,Left foot injured
,2025,Bahamas,,F,20,,False,18,Tarde,Toro,Severed archilles tendon artery severed nerves severed.
,2025,Turks and Caicos,Near five Cays settlement West Caicos,F,55,,False,,,Toro,both hands bitten off and a bite to left thigh
,2025,Australia,Queensland,F,17,,True,16,Tarde,Toro,Bites to arm and upper body
,2025,New Caledonia,Grande Terre,M,40,,True,16,Tarde,Toro,Severe arm injury and delay in medical treatment caused victim to die 
,2025,Australia,South Australia,M,28,,True,17,Tarde,Blanco,Body not recovered
,2024,Egypt,North of Marsa Alam,M,69,,False,,,Tigre,Injuries to stomach preventing attack on friend
,2024,Egypt,North of Marsa Alam,M,48,,True,,,Tigre,Entire calf muscle removed and bitten both arms and legs
,2024,New Zealand,Bay of Waitangi,M,24,,True,,,Blanco,Not stated but injuries fatal
,2024,Australia,Queensland,F,57,,False,16,Tarde,Tigre,30cm (1ft) bite to lower calf 
,2024,Honduras,Tela,M,38,,False,,,Toro,Back and thigh extensive tissue loss
,2024,USA,Florida,M,16,,False,,,Toro,Bite to left arm
,2024,Indonesia,Timor Leste,F,68,,True,,,Tigre,Found inside shark
,2024,Honduras,Trujillo Colon,M,33,,False,,,Toro,Bite to left leg
,2024,Morocco,Southern Morocco,F,30,,True,16,Tarde,Blanco,Leg severed
,2024,Jamaica,Montego Bay,M,16,,True,,,Tigre,Head right arm and leg severed
,2024,Australia,NSW,M,23,,False,11,Mañana,Blanco,Serious injury to leg
,2024,USA,Texas,F,,,False,,,Toro,Bite to left leg calf muscle removed
,2024,USA,Florida,F,15,,False,15,Tarde,Toro,Left hand bitten off and right leg bitten
,2024,USA,Florida,F,45,,False,13,Tarde,Toro,Significant injuries to pelvic and abdominal region lower left arm amputated
,2024,Tobago,Graet Courland Bay,M,64,,False,,,Toro,Bite wounds to left arm and leg wounds to abdomen and left hand
,2024,Australia,South Australia,M,16,,False,13,Tarde,Blanco,Minor bite to left leg
2024-03-15,2024,AUSTRALIA,Queensland,F,13,,False,16,Tarde,Tigre,"Minor injuries to back, abdomen and legs"
2024-03-04,2024,USA,Hawaii,M,,,False,,,Tigre,"No injury, shark bit surfboard"
2024-02-25,2024,AUSTRALIA,Western Australia,F,46,,False,11,Mañana,Tigre,Leg bitten
2024-02-14,2024,INDIA,Maharashtra,M,32,,False,,,Toro,Calf of lower left leg injured
2024-01-29,2024,AUSTRALIA,New  South Wales,F,29,,False,20,Noche,Toro,Right leg bitten
2024-01-09,2024,AUSTRALIA,South Australia,M,64,,False,13,Tarde,Blanco,Leg bitten
2023-12-29,2023,MEXICO,Sonora,M,22,,True,13,Tarde,Blanco,FATAL
