Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
,2025,Australia,NSW,M,57,,True,9,Mañana,Blanco,Both legs and arm severed
,2025,USA,Florida,M,8,,False,15,Tarde,,Bite to leg
,2025,USA,Texas,F,8,,False,,,,Bite to leg
,2025,Australia,NSW,M,,,False,7,Mañana,Blanco,None sustained board severly damaged
,2025,Bahamas,Atlantic Ocean near Big Grand Cay,M,63,,False,13,Tarde,,Severe injuries no detail
,2025,USA,Florida,M,,,False,10,Mañana,,Laceration to right leg below the knee
,2025,Australia,NSW,M,9,,False,16,Tarde,Blanco,None sustained board severely damaged
,2025,Puerto Rico,Carolina,F,39,,False,,,,Bite to thigh area
,2025,Australia,South Australia,M,19,,False,11,Mañana,Blanco,Kayak badly damaged no injury to person
,2025,French Polynesia,Nuku Hiva,M,7,,False,,,,Injuries to right forearm left hand and calf was missing
,2025,Spain,Majorca,F,85,,False,11,Mañana,,Gash to leg
,2025,Canary Islands,Fuerteventura,M,,,False,,,,Lacerations to left leg above the knee
,2025,USA,Florida,M,69,,False,,,,Lacerations to right forearm 
,2025,USA,Florida,M,18,,False,11,Mañana,,Lacerations to left foot
,2025,Bahamas,Great Abaco Islands,M,66,,False,,,Toro,Lacerations to right arm
,2025,USA,Massachusetts,M,21,,False,,,,Injury to leg
,2025,USA,Florida,M,40,,False,15,Tarde,,Lacerations to right arm
,2025,South Africa,KwaZulu-Natal,M,37,,True,,,,Mltiple injuries to body
,2025,Australia,NSW,M,16,,False,16,Tarde,Toro,Serious bites to r bicep r wrist and r leg
,2025,USA,Long Island NY,F,20,,False,16,Tarde,Tigre,Lacerations to lower left foot and leg
,2025,USA,South Carolina,F,,,False,12,Tarde,,Laceration to lower right leg
,2025,USA,South Carolina,F,12,,False,12,Tarde,,Laceration to lower right leg
,2025,USA,Florida,F,9,,False,12,Tarde,Toro,Right hand almost torn off
,2025,USA,California,M,42,,False,14,Tarde,Blanco,No injury 
,2025,USA,North Carolina,M,26,,False,11,Mañana,,Gash to lower left leg
,2025,Vanuatu,South Santo,M,14,,True,,,,Multiple injuries to body one hand and leg bitten off
,2025,Australia,South Australia,M,66,,False,9,Mañana,,Injury to thigh
,2025,Jamaica,Montego Bay,F,26,,False,,,,minor injuries to fingers of left hand
,2025,Israel,Hadera,M,45,,True,15,Tarde,,Remains recovered several days after the attcks
,2025,Mexico,Quntana Roo,M,20,,True,,,,Victim drown and was scavenged by sharks
,2025,Maldives,Kulhudhuffushi City,M,30,,False,,,,Injuries to right shoulder
,2025,USA,Florida,M,,,False,15,Tarde,,Injuries to right hand and arm
,2025,Australia,WA,M,,,False,14,Tarde,Tigre,Bumping to the body
,2025,Australia,WA,M,37,,True,12,Tarde,Blanco,Missing body not recovered
,2025,Australia,NSW,F,56,,False,13,Tarde,Toro,Serious lacerations above right knee.
,2025,Australia,Victoria,M,,,False,,,,minor lacerations to left calf
2025-02-27,2025,Philippines,Batangas Resort,M,29,,True,13,Tarde,,both arms severed by sharks after drowning
,2025,Australia,Western Australia,F,35,,False,8,Mañana,,None kayak badly damaged by shark
,2025,Australia,NSW,M,58,,True,13,Tarde,,Body not recovered
,2025,Australia,Queensland,M,29,,False,15,Tarde,,Abdominal and leg injuries
,2025,Bahamas,,F,24,,False,18,Tarde,Toro,Left foot injured
,2025,Bahamas,,F,20,,False,18,Tarde,Toro,Severed archilles tendon artery severed nerves severed.
